Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4IFmWPR5GbgbCW1tys4rPk,"Alfadhirhaiti","Ofnir","Heilung",2018-01-12,408240,55,false,vicho-x,2026-04-24T17:52:00Z,"neofolk,folk metal,celta,folk ambiental,medieval","Season of Mist",0.648,0.468,1,-11.713,1,0.0399,0.0216,0.17,0.11,0.132,103.011,4
spotify:track:6MpFkv3vmoUvpvO507SqEN,"Fehu","Runaljod – Yggdrasil","Wardruna",2013-03-15,405280,55,false,vicho-x,2026-04-24T17:52:12Z,"neofolk,celta,folk ambiental,medieval,folk metal,folk","INDIE RECORDINGS",0.529,0.701,9,-9.349,0,0.0348,0.14,0.884,0.393,0.454,105.024,5
spotify:track:4B20rVkvKfellx72BJXduv,"Ragnarök","OĐAL","Nytt Land",2018-02-09,386823,25,false,vicho-x,2026-04-24T17:53:23Z,"neofolk,folk metal,celta,folk ambiental,medieval","Shark Music",0.533,0.509,2,-9.846,1,0.0348,0.469,0.177,0.344,0.255,175.076,4
spotify:track:3vdiWuVRCKbEBNmuaLPMxv,"The Host of Seraphim - Remastered","The Serpent's Egg (Remastered)","Dead Can Dance",1988-10-24,378173,51,false,vicho-x,2026-04-24T17:53:35Z,"neofolk,dark wave,rock gótico,deathrock,música neoclásica,post-punk,new age,coldwave","4AD",0.0853,0.293,5,-13.076,0,0.0415,0.00621,0.863,0.108,0.0309,168.753,3
spotify:track:4WfWAfEQhTWXzwRyiHJ7MO,"Kala","Skapanir","Danheim",2020-03-20,232306,49,false,vicho-x,2026-04-24T17:54:08Z,"neofolk,celta,folk ambiental,medieval","Ballista Records",0.263,0.689,1,-13.542,1,0.0746,0.881,0.947,0.119,0.213,145.836,4
spotify:track:0OXEH9T6QSQCrmnjdtpf4P,"Helvegen","Runaljod – Yggdrasil","Wardruna",2013-03-15,431866,60,false,vicho-x,2026-04-24T17:54:19Z,"neofolk,celta,folk ambiental,medieval,folk metal,folk","INDIE RECORDINGS",0.23,0.51,5,-13.398,0,0.0499,0.657,0.293,0.545,0.19,99.42,4
spotify:track:7oGwKNBX90dXL53ZbhPxJk,"Norupo","Futha","Heilung",2019-06-28,257972,57,false,vicho-x,2026-04-24T17:54:26Z,"neofolk,folk metal,celta,folk ambiental,medieval","Season of Mist",0.377,0.402,5,-8.564,1,0.0295,0.536,0.786,0.117,0.0415,159.819,4
spotify:track:0RL8z1ZK8ieiXtPz0xuOnw,"Rotlaust Tre Fell","Runaljod – Yggdrasil","Wardruna",2013-03-15,251653,50,false,vicho-x,2026-04-24T17:54:36Z,"neofolk,celta,folk ambiental,medieval,folk metal,folk","INDIE RECORDINGS",0.13,0.741,9,-12.781,1,0.31,0.307,0.101,0.308,0.128,65.063,4
spotify:track:2O5qtLfhDcyAX9zQUX7tkv,"Cantara","A Passage in Time","Dead Can Dance",1991-10-14,352960,26,false,vicho-x,2026-04-24T17:54:58Z,"neofolk,dark wave,rock gótico,deathrock,música neoclásica,post-punk,new age,coldwave","4AD",0.328,0.468,1,-12.707,1,0.0285,0.0371,0.00906,0.277,0.0765,120.216,3
spotify:track:5qCuvzM6yD0mbmmnZeoi0z,"Solringen","Runaljod – Yggdrasil","Wardruna",2013-03-15,390373,53,false,vicho-x,2026-04-24T17:55:07Z,"neofolk,celta,folk ambiental,medieval,folk metal,folk","INDIE RECORDINGS",0.371,0.397,0,-13.904,0,0.0391,0.424,0.63,0.302,0.0722,124.945,4
